Trading Date,Open,High,Low,Close,Adj Close,Volume
2023-02-20 00:00:00+07:00,5675,5700,5575,5600,4181,29576500
2023-02-21 00:00:00+07:00,5600,5650,5550,5575,4162,26985200
2023-02-22 00:00:00+07:00,5550,5650,5550,5625,4199,24822300
2023-02-23 00:00:00+07:00,5650,5700,5575,5650,4218,33406700
2023-02-24 00:00:00+07:00,5675,5800,5650,5750,4293,30869400
2023-02-27 00:00:00+07:00,5725,5800,5700,5800,4330,28650400
2023-02-28 00:00:00+07:00,6200,6275,6100,6100,4554,154669700
2023-03-01 00:00:00+07:00,6100,6175,6050,6150,4591,49851200
2023-03-02 00:00:00+07:00,6150,6175,6075,6150,4591,26943600
2023-03-03 00:00:00+07:00,6150,6150,6025,6050,4517,32818500
2023-03-06 00:00:00+07:00,6100,6125,6050,6075,4535,22141000
2023-03-07 00:00:00+07:00,6050,6075,5900,5950,4442,41630000
2023-03-08 00:00:00+07:00,5900,5975,5875,5925,4423,40374900
2023-03-09 00:00:00+07:00,5975,6050,5950,6025,4498,23104400
2023-03-10 00:00:00+07:00,5975,6000,5900,5975,4461,33330500
2023-03-13 00:00:00+07:00,5900,5975,5850,5925,4423,28402600
2023-03-14 00:00:00+07:00,5900,5925,5750,5775,4311,56988600
2023-03-15 00:00:00+07:00,5850,5875,5775,5775,4311,40170800
2023-03-16 00:00:00+07:00,5775,5875,5675,5850,4367,33947700
2023-03-17 00:00:00+07:00,5875,5925,5850,5850,4367,74811900
2023-03-20 00:00:00+07:00,5850,5900,5800,5875,4386,22146000
2023-03-21 00:00:00+07:00,5850,5975,5850,5875,4386,40671600
2023-03-24 00:00:00+07:00,5925,6000,5900,5950,4442,60721800
2023-03-27 00:00:00+07:00,5950,5975,5875,5875,4386,32493100
2023-03-28 00:00:00+07:00,5900,5925,5850,5850,4367,42944400
2023-03-29 00:00:00+07:00,5850,6050,5850,5950,4442,81945000
2023-03-30 00:00:00+07:00,5975,5975,5900,5900,4405,40174400
2023-03-31 00:00:00+07:00,5950,6025,5925,6000,4479,40364100
2023-04-03 00:00:00+07:00,6050,6100,5975,6000,4479,44636200
2023-04-04 00:00:00+07:00,6025,6050,5950,6025,4498,35612700
2023-04-05 00:00:00+07:00,6025,6050,5975,6000,4479,27556300
2023-04-06 00:00:00+07:00,6000,6000,5925,5925,4423,32964500
2023-04-10 00:00:00+07:00,5950,5975,5875,5975,4461,40039500
2023-04-11 00:00:00+07:00,5950,6100,5925,6075,4535,37545800
2023-04-12 00:00:00+07:00,6150,6300,6125,6250,4666,126817700
2023-04-13 00:00:00+07:00,6225,6275,6175,6250,4666,35138600
2023-04-14 00:00:00+07:00,6275,6300,6200,6200,4629,45556300
2023-04-17 00:00:00+07:00,6200,6275,6200,6225,4647,33965200
2023-04-18 00:00:00+07:00,6275,6475,6275,6425,4797,101792500
2023-04-26 00:00:00+07:00,6625,6700,6500,6700,5002,182919200
2023-04-27 00:00:00+07:00,6675,6725,6625,6700,5002,45762900
2023-04-28 00:00:00+07:00,6700,6750,6675,6750,5039,64976400
2023-05-02 00:00:00+07:00,6775,6775,6600,6675,4983,62972600
2023-05-03 00:00:00+07:00,6700,6725,6550,6625,4946,106341300
2023-05-04 00:00:00+07:00,6600,6625,6550,6600,4927,132167800
2023-05-05 00:00:00+07:00,6150,6150,6150,6150,5010,82270600
2023-05-08 00:00:00+07:00,6150,6175,6050,6125,4990,95087500
2023-05-09 00:00:00+07:00,6125,6325,6075,6325,5153,96938100
2023-05-10 00:00:00+07:00,6350,6425,6300,6325,5153,52404700
2023-05-11 00:00:00+07:00,6350,6350,6175,6250,5092,39596900
2023-05-12 00:00:00+07:00,6225,6275,6175,6225,5071,67576500
2023-05-15 00:00:00+07:00,6275,6350,6175,6350,5173,42039400
2023-05-16 00:00:00+07:00,6350,6400,6250,6275,5112,19445400
2023-05-17 00:00:00+07:00,6350,6350,6275,6325,5153,29480000
2023-05-19 00:00:00+07:00,6400,6550,6350,6475,5275,75548600
2023-05-22 00:00:00+07:00,6525,6650,6425,6600,5377,63793800
